Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Guerschon Yabusele\yabusgu01,PF,22,BOS,12,0,48,1,9,.111,0,6,.000,1,3,.333,.111,2,5,.400,3,8,11,3,2,0,0,9,4
2,Jayson Tatum\tatumja01,SF,19,BOS,19,19,683,123,261,.471,23,71,.324,100,190,.526,.515,82,97,.845,10,73,83,52,23,10,41,50,351
3,Marcus Smart\smartma01,SG,23,BOS,15,4,449,48,143,.336,15,68,.221,33,75,.440,.388,36,49,.735,14,42,56,80,26,10,36,44,147
4,Terry Rozier\roziete01,PG,23,BOS,19,19,696,108,266,.406,51,147,.347,57,119,.479,.502,46,56,.821,8,92,100,109,24,6,22,38,313
5,Semi Ojeleye\ojelese01,PF,23,BOS,17,3,230,10,33,.303,6,22,.273,4,11,.364,.394,6,7,.857,4,24,28,2,3,0,2,21,32
6,Abdel Nader\naderab01,SF,24,BOS,11,0,33,5,15,.333,0,4,.000,5,11,.455,.333,2,4,.500,1,2,3,3,1,1,2,2,12
7,Marcus Morris\morrima03,PF,28,BOS,19,4,562,82,223,.368,30,72,.417,52,151,.344,.435,42,59,.712,20,83,103,21,7,5,19,60,236
8,Greg Monroe\monrogr01,C,27,BOS,11,0,105,19,38,.500,0,0,,19,38,.500,.500,15,22,.682,14,21,35,5,2,2,14,9,53
9,Shane Larkin\larkish01,PG,25,BOS,11,0,154,16,35,.457,4,13,.308,12,22,.545,.514,5,5,1.000,1,10,11,20,5,0,6,15,41
10,Al Horford\horfoal01,C,31,BOS,19,19,679,111,204,.544,15,43,.349,96,161,.596,.581,62,75,.827,32,125,157,63,19,22,32,39,299
11,Jaylen Brown\brownja02,SG,21,BOS,18,15,583,124,266,.466,44,112,.393,80,154,.519,.549,32,50,.640,16,71,87,26,14,10,23,58,324
12,Aron Baynes\baynear01,C,31,BOS,19,12,389,45,89,.506,11,23,.478,34,66,.515,.567,13,18,.722,45,73,118,19,4,11,8,43,114
13,Ante Zizic\zizican01,C,21,CLE,8,0,23,5,10,.500,0,0,,5,10,.500,.500,3,6,.500,1,5,6,1,0,1,2,2,13
14,Tristan Thompson\thomptr01,C,26,CLE,19,11,416,49,83,.590,0,1,.000,49,82,.598,.590,20,27,.741,44,68,112,11,2,8,11,26,118
15,J.R. Smith\smithjr01,SG,32,CLE,22,21,706,65,187,.348,44,120,.367,21,67,.313,.465,17,22,.773,10,50,60,25,21,4,19,54,191
16,Cedi Osman\osmande01,SF,22,CLE,14,0,62,6,18,.333,1,7,.143,5,11,.455,.361,1,4,.250,1,6,7,3,3,0,0,5,14
